2011-10-27 04:25:16 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:26:35 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:26:35 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:30:02 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:30:02 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:37:44 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:37:44 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:37:45 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 172]
2011-10-27 04:38:54 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 172]
2011-10-27 04:43:25 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:43:25 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:43:26 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 174]
2011-10-27 04:43:34 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:43:35 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:43:35 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 174]
2011-10-27 04:44:22 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:44:22 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
